file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\mantisrx\common\WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,testIfWorkerPortsIsSerializableByJson/0,false,68,3,3,0,3,1,3,7,0,3,0,3,0,0,0,0,0,0,1,5,3,0,0,0,0,0,13,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\mantisrx\common\WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,shouldNotConstructWorkerPorts/0,false,33,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,1,0,true
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\mantisrx\common\WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,testWorkerPortsIsSerializableByJava/0,false,79,3,1,0,1,1,3,5,0,2,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,11,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\mantisrx\common\WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,shouldNotConstructWorkerPortsWithDuplicatePorts/0,false,44,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,1,0,true
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\mantisrx\common\WorkerPortsTest.java,io.mantisrx.common.WorkerPortsTest,shouldConstructValidWorkerPorts/0,false,63,2,1,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,10,1,0,true
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous40,call/1[java.lang.String],false,637,0,2,0,2,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java,io.reactivx.mantis.operators.OperatorGroupByTest$Anonymous41,call/1[io.reactivx.mantis.operators.Subscriber<? super java.lang.Integer>],false,656,1,0,0,0,2,4,16,1,0,1,4,0,0,0,0,1,0,0,6,0,0,1,0,0,0,6,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getConnectedServerCount/0,false,68,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getInstance/0,false,42,2,1,0,1,1,1,4,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,false
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getInstance/1[boolean],false,34,2,3,2,1,2,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,41,0,false
